baseline=agentic_codex_qa_txt  model=gpt54mini  questions=12  docs=50
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'From February 2, 2023, to January 25, 2024'  in=112868  lat=12.7s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'February 13 to July 27, 2023'  in=56659  lat=4.8s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'October 14 to 18, 2023'  in=56494  lat=5.2s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'From April 24, 2023, to August 2, 2023'  in=110918  lat=9.7s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'August 21 through October 5, 2023'  in=43937  lat=5.4s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'March 28 to October 2, 2023'  in=43921  lat=5.7s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'July 17, 2023 to September 22, 2023'  in=57004  lat=5.9s
  ✗ 32025003NOPV_PCP PCO_01162025_(23-264381)               'August 1, 2023 to November 29, 2024'  in=630761  lat=72.3s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'September 11 to September 15, 2023'  in=44130  lat=8.0s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'June 6, 2023 to August 2, 2023'  in=57891  lat=5.0s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'February 27 through October 16, 2023'  in=56380  lat=6.3s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'March 7, 2023, to December 1, 2023'  in=112794  lat=8.6s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'August 5 through September 24, 2024'  in=57304  lat=4.7s

Question: On what date or date range did PHMSA conduct the inspection that gave 
  accuracy=0.92 (46/50)  avg_in=100670  avg_lat=10.3s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'Illinois, Missouri, Oklahoma, and Texas'  in=77714  lat=9.8s
  ✗ 32022069NOPV_PCO_11292022_(22-233904)                   'NOT_FOUND'  in=227448  lat=21.1s
  ✗ 32023002NOPV_PCP PCO_01182023_(21-202836)               'Missouri'  in=244440  lat=21.8s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'Arkansas'  in=79192  lat=11.8s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'Kansas'  in=89849  lat=8.6s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'Oklahoma and Kansas'  in=56603  lat=9.1s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'Illinois, Indiana, Michigan, Ohio, and New York'  in=56634  lat=6.7s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'Louisiana'  in=134530  lat=17.0s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'Colorado'  in=171557  lat=21.0s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'Louisiana and Texas'  in=56876  lat=7.2s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'Kansas'  in=56957  lat=4.8s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'Arkansas, Illinois, Iowa, Kansas, Minnesota, Missouri, Nebraska, North Dakota, Oklahoma, South Dakota, and Wisconsin'  in=80528  lat=16.3s
  ✗ 32023026NOPV_PCP PCO_09082023_(22-240208)               'Oklahoma'  in=137711  lat=19.9s
  ✗ 32023033NOPV_PCO_11272023_(22-234926)                   'Tennessee'  in=90277  lat=13.2s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'Illinois and Missouri'  in=55841  lat=8.3s
  ✗ 32024004NOPV_PCP PCO_03012024_(22-240209)               'NOT_FOUND'  in=2516839  lat=153.5s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'Alabama, Georgia, North Carolina, Tennessee, and Virginia'  in=91273  lat=12.2s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'Arkansas and Louisiana'  in=95675  lat=13.9s
  ✗ 32024011NOPV_PCO_02062024_(23-264235)                   'Iowa and Minnesota'  in=162537  lat=22.9s
  ✗ 32024012NOPV_PCP PCO_02062024_(23-264235)               'Nebraska'  in=92296  lat=9.3s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'Illinois'  in=55740  lat=4.9s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'North Dakota'  in=87562  lat=8.6s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'North Dakota'  in=83735  lat=10.5s
  ✗ 32024022NOPV_PCP PCO_05082024_(23-268060)               'Michigan'  in=131927  lat=13.8s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'Minnesota and Wisconsin'  in=57130  lat=5.5s
  ✗ 32024030NOPV_PCO_06032024_(23-264637)                   'NOT_FOUND'  in=333719  lat=29.2s
  ✗ 32024035NOPV_PCO_04152024_(23-270170)                   'Nebraska'  in=91406  lat=15.9s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               'North Dakota'  in=173199  lat=23.7s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'Illinois'  in=92613  lat=7.1s
  ✗ 32024040NOPV_PCP PCO_09062024_(23-264452)               'Missouri, Indiana, and Ohio'  in=96457  lat=16.9s
  ✗ 32024042NOPV_PCO_06032024_(23-264638)                   'NOT_FOUND'  in=89574  lat=27.4s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'Minnesota'  in=101276  lat=13.8s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'Oklahoma'  in=93612  lat=8.3s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'Wisconsin'  in=111972  lat=13.0s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'Texas, New Mexico, and Oklahoma'  in=144566  lat=11.3s
  ✗ 32024052NOPV_PCP PCO_07032024_(24-305436)               'Kansas'  in=57545  lat=12.9s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'Illinois'  in=43495  lat=5.0s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'Colorado'  in=43395  lat=9.2s
  ✗ 32024056NOPV_PCP PCO_10252024_(23-264602)               'Montana'  in=146615  lat=13.7s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'Ohio and Kentucky'  in=43319  lat=5.1s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'Tennessee, Kentucky, Indiana, and Ohio'  in=88375  lat=8.4s
  ✗ 32024066NOPV_PCP PCO_08222024_(23-282184)               'Texas'  in=177282  lat=27.2s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'Kansas and Nebraska'  in=57112  lat=6.6s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'Illinois and Indiana'  in=43891  lat=8.3s
  ✗ 32025003NOPV_PCP PCO_01162025_(23-264381)               'Missouri and Illinois'  in=295098  lat=31.8s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'Wisconsin'  in=57275  lat=5.1s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'Kentucky and Indiana'  in=57898  lat=5.3s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'Wisconsin and North Dakota'  in=93869  lat=8.4s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'Colorado, Kansas, Nebraska, and Wyoming'  in=57495  lat=8.1s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'Indiana'  in=81654  lat=8.2s

Question: In which U.S. state (or states) is the pipeline facility addressed in 
  accuracy=0.66 (33/50)  avg_in=153272  avg_lat=15.6s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'Part 195'  in=56444  lat=5.8s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   'Part 195'  in=169753  lat=19.4s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'Part 192'  in=56959  lat=5.0s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'Part 195'  in=44142  lat=4.7s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'Part 195'  in=56754  lat=6.2s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'Part 195'  in=56497  lat=7.8s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'Part 195'  in=56694  lat=9.7s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'Part 195'  in=113424  lat=9.4s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'Part 192'  in=92811  lat=9.6s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'Part 195'  in=43728  lat=6.3s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'Part 195'  in=98576  lat=11.5s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'Part 195'  in=57300  lat=5.1s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'Part 195'  in=91612  lat=7.5s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'Part 192'  in=144275  lat=19.9s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'Part 195'  in=55853  lat=6.9s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'Part 195'  in=56924  lat=5.4s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'Part 192'  in=56978  lat=5.5s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'Part 195'  in=80177  lat=10.7s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'Part 192'  in=56848  lat=7.8s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'Part 192'  in=301159  lat=30.9s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'Part 195'  in=55768  lat=6.1s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'Part 195'  in=55659  lat=6.3s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'Part 195'  in=79433  lat=10.8s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'Part 195'  in=57646  lat=5.2s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'Part 195'  in=57147  lat=5.6s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   'Part 192'  in=90714  lat=14.6s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'Part 192'  in=56547  lat=5.4s
  ✓ 32024036NOPV_PCP PCO_06282024_(23-264742)               'Part 195'  in=57098  lat=4.9s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'Part 195'  in=57639  lat=10.1s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               'Part 192'  in=92150  lat=7.5s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'Part 195'  in=56457  lat=8.1s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'Part 192'  in=44078  lat=7.5s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'Part 195'  in=57647  lat=5.1s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'Part 192'  in=57339  lat=10.0s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'Part 195'  in=57399  lat=7.4s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               'Part 195'  in=44266  lat=4.9s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'Part 195'  in=111842  lat=9.3s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'Part 192'  in=56480  lat=8.1s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'Part 195'  in=43526  lat=5.2s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'Part 195'  in=56518  lat=4.7s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'Part 192'  in=111522  lat=8.9s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'Part 192'  in=98950  lat=8.8s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'Part 192'  in=57154  lat=5.2s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'Part 195'  in=112171  lat=9.4s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               'Part 192'  in=140928  lat=13.2s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'Part 192'  in=112996  lat=10.7s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'Part 192'  in=112730  lat=10.4s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'Part 192'  in=90234  lat=14.1s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'Part 195'  in=57495  lat=6.0s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'Part 195'  in=57398  lat=5.5s

Question: Under which 49 CFR Part is the operator's regulated activity covered (
  accuracy=1.00 (50/50)  avg_in=78877  avg_lat=8.7s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   '2'  in=43230  lat=4.8s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   '1'  in=141610  lat=17.6s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               '2'  in=111505  lat=8.8s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               '3'  in=57707  lat=4.7s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               '1'  in=56697  lat=6.3s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               '5'  in=56479  lat=4.7s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               '3'  in=84230  lat=10.1s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               '7'  in=269263  lat=26.1s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               '8'  in=44414  lat=5.7s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               '4'  in=44149  lat=4.8s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               '6'  in=57607  lat=4.8s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               '6'  in=147035  lat=11.7s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               '7'  in=137767  lat=13.6s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   '1'  in=42748  lat=6.8s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   '1'  in=83412  lat=10.8s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               '12'  in=188739  lat=15.1s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   '3'  in=56924  lat=6.0s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               '3'  in=58557  lat=5.8s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   '1'  in=56793  lat=5.6s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               '3'  in=57266  lat=5.8s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   '1'  in=140981  lat=11.8s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   '1'  in=55646  lat=7.3s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               '8'  in=94444  lat=8.4s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               '4'  in=57998  lat=5.2s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   '2'  in=57124  lat=6.3s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   '3'  in=92055  lat=7.7s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   '1'  in=84058  lat=6.2s
  ✓ 32024036NOPV_PCP PCO_06282024_(23-264742)               '4'  in=57631  lat=9.8s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               '2'  in=57598  lat=6.2s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               '6'  in=85635  lat=8.7s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   '1'  in=43250  lat=7.5s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               '4'  in=57239  lat=6.4s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               '4'  in=57576  lat=5.2s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               '4'  in=57405  lat=5.1s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               '3'  in=57366  lat=8.2s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               '1'  in=43719  lat=5.6s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   '1'  in=72148  lat=6.5s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   '2'  in=43228  lat=4.7s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               '5'  in=91946  lat=10.3s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   '1'  in=43312  lat=7.3s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               '1'  in=56249  lat=5.2s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               '2'  in=84699  lat=6.3s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               '2'  in=57125  lat=4.8s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               '2'  in=57028  lat=4.8s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               '6'  in=122458  lat=8.9s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   '3'  in=44599  lat=4.9s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               '2'  in=167798  lat=16.5s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               '7'  in=93463  lat=7.5s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               '5'  in=57384  lat=4.8s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   '5'  in=44489  lat=7.9s

Question: How many distinct alleged violations are enumerated in the body of thi
  accuracy=1.00 (50/50)  avg_in=78636  avg_lat=7.9s

  ✗ 32022062NOPV_PCO_09142022_(21-202559)                   '§ 195.264, § 195.264(b)(1)(i), § 195.581'  in=89293  lat=9.3s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   '195.505(f)'  in=179156  lat=17.3s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               '§ 192.493; § 192.605(c)(1)(v)'  in=126062  lat=15.4s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               '195.214(b), 195.228(a), 195.234(b)'  in=290286  lat=20.5s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               '195.579'  in=89897  lat=9.7s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               '195.412(a), 195.573(a)(1), 195.573(e), 195.581(a), 195.589(c)'  in=56876  lat=6.4s
  ✗ 32023011NOPV_PCP PCO_09122023_(22-233376)               '49 CFR §§ 195.402, 195.406, 195.573, 195.571'  in=91288  lat=10.4s
  ✗ 32023014NOPV_PCP PCO_07272023_(22-250434)               '195.444(b), 195.452(i)(3), 195.446(c)(1), 195.446(c)(2), 195.446(c)(3), 195.446(e), 195.446(h)(1), 195.446(h)(3)'  in=267367  lat=38.0s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               '192.631(c)(3), 192.631(c)(4), 192.631(e)(1), 192.631(e)(2), 192.631(e)(3), 192.631(e)(4), 192.631(h)(6), 192.631(j)(1)'  in=124570  lat=25.0s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               '195.402(a), 195.440(b), 195.452(d)(2), 195.452(j)(2)'  in=147147  lat=12.8s
  ✗ 32023021NOPV_PCP PCO_09182023_(22-245404)               '195.61, 195.402, 195.403, 195.440, 195.440(b), 195.505, 195.505(b), 195.588'  in=92302  lat=23.7s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               '§ 195.264, § 195.402, § 195.404, § 195.412, § 195.428'  in=112854  lat=11.7s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               '49 CFR 195.446(c)(2), 195.446(c)(3), 195.446(c)(5), 195.446(e)(4), 195.446(h), 195.446(h)(6), 195.446(j)(1)'  in=96332  lat=12.1s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   '192.625'  in=172061  lat=15.1s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   '195.420(a)'  in=55799  lat=6.1s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               '195.446(a), 195.446(b)(5), 195.446(c)(1), 195.446(c)(2), 195.446(c)(3), 195.446(c)(4), 195.446(d)(3), 195.446(e)(2), 195.446(e)(3), 195.446(e)(4), 195.446(e)(5), 195.446(h)(6), 195.446(j)(1), 195.505(b)'  in=181595  lat=23.3s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   '49 CFR § 192.479(a), § 192.705(a), § 192.750'  in=56961  lat=6.3s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               '195.52(a)(3), 195.52(c), 195.452(h)(4)(iv)'  in=340137  lat=35.4s
  ✗ 32024011NOPV_PCO_02062024_(23-264235)                   '192.5; 192.5(c)(2)'  in=93064  lat=11.8s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               '192.5(b)(3), 192.605(a), 192.710(b)'  in=80269  lat=7.9s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   '195.426'  in=88272  lat=9.7s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   '195.563(a)'  in=171537  lat=13.0s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               '49 CFR 195.446(j)(1), 195.446(c)(3), 195.446(e)(2), 195.446(e)(3), 195.446(e)(4), 195.446(e)(5), 195.446(f)(1), 195.446(h)(1)'  in=82349  lat=11.0s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               '§ 195.446(c)(1), § 195.446(c)(4), § 195.446(e)(1), § 195.446(e)(2)'  in=44820  lat=7.4s
  ✗ 32024028NOPV_PCO_12302024_(22-235481)                   '195.446(c)(3); 195.402(a); 195.505(b)'  in=99427  lat=14.1s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   '§ 192.631(d)(3), § 192.631(e)(1), § 192.631(h)'  in=168182  lat=24.5s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   '192.607'  in=89503  lat=10.0s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               '195.54(a), 195.452(f), 195.452(f)(1), 195.452(f)(3), 195.452(g), 195.577(a)'  in=93156  lat=21.5s
  ✗ 32024038NOPV_PCP PCO_05312024_(22-233382)               '195.402(a); 195.452(l)(1)(ii); 195.452(f)(3); 195.452(g); 195.452(f)(7)'  in=108270  lat=17.4s
  ✗ 32024040NOPV_PCP PCO_09062024_(23-264452)               '191.22(c)(1)(i); 192.5(b); 192.5(b)(3)(ii); 192.195(a); 192.199; 192.201; 192.491(c); 192.619(a)(1); 192.111; 192.105; 192.705(c)'  in=305319  lat=50.7s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   '49 CFR § 195.446(c)(5)'  in=76263  lat=15.2s
  ✗ 32024044NOPV_PCP PCO_04182024_(23-265891)               '191.17, 192.605, 192.710, 192.616, 192.624'  in=79325  lat=18.1s
  ✗ 32024045NOPV_PCP PCO_05102024_(23-264643)               '195.446(c)(1), 195.446(c)(2), 195.446(c)(3), 195.446(e)(1), 195.446(e)(2), 195.446(e)(5)'  in=79683  lat=12.7s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               '192.11(b), 192.723(b), 192.807(b), 192.1007(f)'  in=44124  lat=5.4s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               '49 CFR §§ 195.428(a), 195.452(b)(4)(i), 195.452(j)(2), 195.583(a)'  in=44178  lat=8.3s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               '195.452(e)(1)'  in=92845  lat=10.6s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   '195.452, 195.452(j)(2)'  in=77303  lat=19.8s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   '49 CFR § 192.481(b); 49 CFR § 192.745(a)'  in=127395  lat=18.9s
  ✗ 32024056NOPV_PCP PCO_10252024_(23-264602)               '195.264(b), 195.505(a), 195.563(a), 195.573(a)(1), 195.401(b)'  in=283951  lat=31.0s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   '195.412(a)'  in=160583  lat=13.7s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               '192.745(b)'  in=88387  lat=10.7s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               '192.5(b)(3)(ii), 192.605(a)'  in=92115  lat=14.2s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               '49 CFR §§ 192.605(c)(4) and 192.705(a)'  in=43925  lat=5.1s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               '195.264(b)(1); 195.412(a)'  in=56991  lat=6.4s
  ✗ 32025003NOPV_PCP PCO_01162025_(23-264381)               '192.473(a), 192.605(a), 192.615(b)(2), 192.706(a), 192.907(a), 192.935, 192.947(b)'  in=44587  lat=12.3s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   '192.625(f), 192.723(b), 192.805(a)'  in=112840  lat=9.7s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               '49 CFR 192.605(a); 49 CFR 192.739(a)'  in=57877  lat=8.1s
  ✗ 32025007NOPV_PCP PCO_06252025_(23-264832)               '191.22(c)(1)(i), 192.605(a), 192.907(a), 192.911(c), 192.935(a)'  in=340293  lat=28.9s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               '§195.307, §195.402(a), §195.402(d)(1)(iv), §195.452(d)(1), §195.583(b)'  in=286766  lat=30.5s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   '195.444(c), 195.446(c)(2), 195.446(c)(3), 195.446(c)(4), 195.446(h)'  in=81692  lat=10.5s

Question: List all 49 CFR section numbers cited as the basis for alleged violati
  accuracy=0.72 (36/50)  avg_in=125306  avg_lat=15.8s

  ✗ 32022062NOPV_PCO_09142022_(21-202559)                   '2'  in=43241  lat=5.6s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   '4'  in=54806  lat=6.9s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               '2'  in=56976  lat=5.5s
  ✗ 32023005NOPV_PCP PCO_01252023_(22-261675)               '14'  in=136279  lat=13.6s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               '1'  in=76211  lat=11.4s
  ✗ 32023008NOPV_PCP PCO_06022023_(21-207275)               '3'  in=111442  lat=11.1s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               '2'  in=56656  lat=6.7s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               '7'  in=111748  lat=10.9s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               '5'  in=97695  lat=12.9s
  ✗ 32023020NOPV_PCP PCO_08112023_(22-237273)               '5'  in=91991  lat=15.1s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               '3'  in=95747  lat=8.6s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               '4'  in=129643  lat=13.7s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               '5'  in=98903  lat=8.4s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   '3'  in=56436  lat=5.1s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   '2'  in=97798  lat=9.7s
  ✗ 32024004NOPV_PCP PCO_03012024_(22-240209)               '4'  in=114203  lat=14.9s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   '5'  in=43779  lat=7.8s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               '3'  in=95264  lat=13.0s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   '6'  in=84646  lat=9.6s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               '3'  in=98220  lat=12.1s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   '1'  in=140156  lat=9.4s
