baseline=agentic_codex_qa_txt  model=gpt54  questions=12  docs=50
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'October 14 to 18, 2023'  in=58267  lat=7.3s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'April 24, 2023, to August 2, 2023'  in=115616  lat=14.4s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'August 21 through October 5, 2023'  in=58877  lat=6.6s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'March 28 to October 2, 2023'  in=58956  lat=7.8s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'July 17, 2023 to September 22, 2023'  in=59017  lat=8.9s
  ✗ 32025003NOPV_PCP PCO_01162025_(23-264381)               'NOT_FOUND'  in=277873  lat=32.4s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'September 11 to September 15, 2023'  in=116230  lat=12.9s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'June 6, 2023 to August 2, 2023'  in=59715  lat=9.3s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'February 27 through October 16, 2023'  in=58172  lat=8.4s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'March 7, 2023, to December 1, 2023'  in=59338  lat=7.7s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'August 5 through September 24, 2024'  in=59154  lat=8.3s

Question: On what date or date range did PHMSA conduct the inspection that gave 
  accuracy=0.92 (46/50)  avg_in=85925  avg_lat=11.6s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'Illinois, Missouri, Oklahoma, and Texas'  in=92230  lat=22.1s
  ✗ 32022069NOPV_PCO_11292022_(22-233904)                   'NOT_FOUND'  in=118037  lat=17.6s
  ✗ 32023002NOPV_PCP PCO_01182023_(21-202836)               'Missouri'  in=93295  lat=12.9s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'Arkansas'  in=95354  lat=12.5s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'Kansas'  in=78911  lat=17.0s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'Oklahoma and Kansas'  in=150135  lat=18.1s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'Illinois, Indiana, Michigan, Ohio, and New York'  in=132964  lat=20.6s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'Louisiana'  in=223425  lat=30.4s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'Colorado'  in=219424  lat=25.6s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'Louisiana and Texas'  in=128698  lat=18.8s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'Kansas'  in=95024  lat=11.5s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'Arkansas, Illinois, Iowa, Kansas, Minnesota, Missouri, Nebraska, North Dakota, Oklahoma, South Dakota, and Wisconsin'  in=136255  lat=25.0s
  ✗ 32023026NOPV_PCP PCO_09082023_(22-240208)               'Oklahoma'  in=320212  lat=40.4s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'Alabama, Kentucky, Louisiana, Mississippi, Tennessee, and Texas'  in=92135  lat=14.9s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'Illinois and Missouri'  in=89787  lat=11.5s
  ✗ 32024004NOPV_PCP PCO_03012024_(22-240209)               'NOT_FOUND'  in=340364  lat=43.9s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'Alabama, Georgia, North Carolina, Tennessee, and Virginia'  in=148420  lat=18.9s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'Louisiana and Arkansas'  in=221393  lat=27.4s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'Nebraska, Michigan, Minnesota, Iowa'  in=259592  lat=56.5s
  ✗ 32024012NOPV_PCP PCO_02062024_(23-264235)               'Minnesota and Michigan'  in=298297  lat=31.6s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'Illinois'  in=89525  lat=14.9s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'North Dakota'  in=116286  lat=15.1s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'North Dakota'  in=189726  lat=20.9s
  ✗ 32024022NOPV_PCP PCO_05082024_(23-268060)               'Michigan'  in=254930  lat=34.3s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'Minnesota and Wisconsin'  in=177819  lat=20.9s
  ✗ 32024030NOPV_PCO_06032024_(23-264637)                   None  in=0  lat=45.6s
  ✗ 32024035NOPV_PCO_04152024_(23-270170)                   'NOT_FOUND'  in=131638  lat=25.8s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               'NOT_FOUND'  in=418334  lat=43.0s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'Illinois'  in=166655  lat=18.3s
  ✗ 32024040NOPV_PCP PCO_09062024_(23-264452)               'Missouri, Indiana, and Ohio'  in=151209  lat=36.5s
  ✗ 32024042NOPV_PCO_06032024_(23-264638)                   'NOT_FOUND'  in=348601  lat=45.8s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'Minnesota'  in=94633  lat=13.4s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'Oklahoma'  in=96451  lat=13.7s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'Wisconsin'  in=148791  lat=15.3s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'Texas, New Mexico, and Oklahoma'  in=81335  lat=14.5s
  ✗ 32024052NOPV_PCP PCO_07032024_(24-305436)               'Kansas'  in=59176  lat=12.6s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'Illinois'  in=92898  lat=15.6s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'Colorado'  in=91414  lat=10.8s
  ✗ 32024056NOPV_PCP PCO_10252024_(23-264602)               'Montana'  in=135363  lat=28.6s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'Ohio and Kentucky'  in=44572  lat=7.5s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'Tennessee, Kentucky, Indiana, and Ohio'  in=77828  lat=13.3s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'Kentucky, Texas, and Louisiana'  in=247083  lat=54.0s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'Kansas and Nebraska'  in=93592  lat=11.3s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'Illinois and Indiana'  in=93592  lat=14.1s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               'Missouri'  in=624882  lat=72.2s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'Wisconsin'  in=95168  lat=12.1s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'Kentucky and Indiana'  in=89603  lat=11.0s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'Wisconsin and North Dakota'  in=95721  lat=13.6s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'Colorado, Kansas, Nebraska, and Wyoming'  in=133110  lat=16.1s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'Indiana'  in=138193  lat=19.4s

Question: In which U.S. state (or states) is the pipeline facility addressed in 
  accuracy=0.74 (37/50)  avg_in=158242  avg_lat=23.4s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   'Part 195'  in=91476  lat=10.8s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   'Part 195'  in=146948  lat=20.7s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               'Part 192'  in=45113  lat=8.1s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               'Part 195'  in=59064  lat=8.3s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               'Part 195'  in=58480  lat=6.9s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               'Part 195'  in=92124  lat=11.0s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               'Part 195'  in=116310  lat=11.8s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               'Part 195'  in=59013  lat=9.6s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               'Part 192'  in=117871  lat=14.3s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               'Part 195'  in=58890  lat=11.2s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               'Part 195'  in=58979  lat=9.5s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               'Part 195'  in=117717  lat=13.7s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               'Part 195'  in=149661  lat=16.8s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   'Part 192'  in=150536  lat=15.2s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   'Part 195'  in=57631  lat=7.8s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               'Part 195'  in=58691  lat=8.3s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   'Part 192'  in=116176  lat=12.9s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               'Part 195'  in=245697  lat=24.0s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   'Part 192'  in=58582  lat=8.3s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               'Part 192'  in=132447  lat=14.9s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   'Part 195'  in=86182  lat=9.9s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   'Part 195'  in=43769  lat=8.8s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               'Part 195'  in=95426  lat=15.6s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               'Part 195'  in=59548  lat=7.5s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   'Part 195'  in=101949  lat=18.5s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   'Part 192'  in=145539  lat=15.7s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   'Part 192'  in=115937  lat=13.5s
  ✓ 32024036NOPV_PCP PCO_06282024_(23-264742)               'Part 195'  in=95226  lat=12.1s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               'Part 195'  in=59402  lat=8.1s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               'Part 192'  in=95927  lat=11.8s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   'Part 195'  in=58256  lat=8.0s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               'Part 192'  in=59254  lat=11.2s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               'Part 195'  in=150883  lat=16.4s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               'Part 192'  in=117155  lat=13.1s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               'Part 195'  in=59149  lat=7.6s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               'Part 195'  in=59210  lat=7.4s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   'Part 195'  in=87585  lat=15.3s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   'Part 192'  in=91526  lat=10.3s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               'Part 195'  in=92744  lat=10.9s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   'Part 195'  in=116715  lat=16.3s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               'Part 192'  in=116356  lat=13.0s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               'Part 192'  in=117606  lat=14.2s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               'Part 192'  in=116942  lat=15.2s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               'Part 195'  in=145906  lat=15.8s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               'Part 192'  in=155551  lat=20.7s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   'Part 192'  in=59134  lat=10.1s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               'Part 192'  in=59755  lat=8.9s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               'Part 192'  in=225218  lat=30.5s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               'Part 195'  in=59275  lat=12.6s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   'Part 195'  in=117333  lat=13.2s

Question: Under which 49 CFR Part is the operator's regulated activity covered (
  accuracy=1.00 (50/50)  avg_in=99117  avg_lat=12.7s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   '2'  in=44498  lat=8.1s
  ✗ 32022069NOPV_PCO_11292022_(22-233904)                   'NOT_FOUND'  in=117886  lat=15.9s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               '2'  in=116724  lat=14.3s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               '3'  in=149830  lat=12.1s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               '1'  in=58456  lat=6.9s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               '5'  in=58811  lat=7.0s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               '3'  in=149444  lat=14.0s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               '7'  in=152263  lat=16.2s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               '8'  in=130760  lat=16.1s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               '4'  in=59091  lat=11.5s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               '6'  in=59583  lat=11.5s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               '6'  in=59604  lat=8.3s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               '7'  in=98551  lat=11.7s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   '1'  in=58259  lat=7.6s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   '1'  in=145514  lat=14.1s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               '12'  in=98226  lat=13.6s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   '3'  in=58682  lat=7.1s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               '3'  in=99270  lat=14.8s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   '1'  in=44851  lat=7.1s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               '3'  in=59572  lat=8.4s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   '1'  in=114543  lat=10.6s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   '1'  in=57397  lat=7.0s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               '8'  in=130010  lat=14.4s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               '4'  in=118940  lat=12.8s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   '2'  in=58905  lat=7.2s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   '3'  in=153851  lat=15.4s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   '1'  in=58271  lat=7.2s
  ✓ 32024036NOPV_PCP PCO_06282024_(23-264742)               '4'  in=59648  lat=10.5s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               '2'  in=225891  lat=22.5s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               '6'  in=89286  lat=9.8s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   '1'  in=87948  lat=12.0s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               '4'  in=116448  lat=13.6s
  ✓ 32024045NOPV_PCP PCO_05102024_(23-264643)               '4'  in=60094  lat=7.7s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               '4'  in=222971  lat=20.9s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               '3'  in=59344  lat=7.2s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               '1'  in=59225  lat=8.3s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   '1'  in=58395  lat=6.7s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   '2'  in=58234  lat=9.9s
  ✓ 32024056NOPV_PCP PCO_10252024_(23-264602)               '5'  in=95657  lat=13.0s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   '1'  in=58258  lat=9.2s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               '1'  in=57983  lat=7.6s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               '2'  in=59144  lat=9.3s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               '2'  in=58938  lat=7.6s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               '2'  in=150031  lat=12.9s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               '6'  in=164988  lat=18.7s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   '3'  in=88914  lat=11.9s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               '2'  in=60095  lat=8.1s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               '7'  in=96705  lat=12.5s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               '5'  in=59711  lat=8.0s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   '5'  in=59859  lat=7.3s

Question: How many distinct alleged violations are enumerated in the body of thi
  accuracy=0.98 (49/50)  avg_in=92391  avg_lat=11.1s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   '195.264, 195.581'  in=58017  lat=6.9s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   '195.505(f)'  in=119108  lat=17.4s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               '192.493; 192.605(c)(1)(v)'  in=80151  lat=17.7s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               '195.214, 195.228, 195.234'  in=150473  lat=14.8s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               '195.579'  in=213652  lat=17.9s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               '195.412(a), 195.573(a)(1), 195.573(e), 195.581(a), 195.589(c)'  in=242254  lat=35.7s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               '195.402, 195.573'  in=117132  lat=22.5s
  ✗ 32023014NOPV_PCP PCO_07272023_(22-250434)               '195.444(b), 195.452(i)(3), 195.446(c)(1), 195.446(c)(2), 195.446(c)(3), 195.446(e), 195.446(h)(1), 195.446(h)(3)'  in=383894  lat=40.5s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               '192.631(c)(3), 192.631(c)(4), 192.631(e)(1), 192.631(e)(2), 192.631(e)(3), 192.631(e)(4), 192.631(h)(6), 192.631(j)(1)'  in=135713  lat=23.3s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               '195.402(a), 195.440(b), 195.452(d)(2), 195.452(j)(2)'  in=162736  lat=28.4s
  ✗ 32023021NOPV_PCP PCO_09182023_(22-245404)               '195.61, 195.402, 195.403, 195.440, 195.505, 195.588'  in=132944  lat=31.1s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               '195.264, 195.402, 195.404, 195.412, 195.428'  in=45834  lat=13.2s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               '195.446(c)(2), 195.446(c)(3), 195.446(c)(5), 195.446(e)(4), 195.446(h), 195.446(h)(6), 195.446(j)(1)'  in=141716  lat=34.4s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   '192.625'  in=91950  lat=15.5s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   '195.420(a)'  in=89646  lat=21.5s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               '195.446; 195.505'  in=98845  lat=29.0s
  ✓ 32024007NOPV_PCO_01182024_(22-234928)                   '192.479(a), 192.705(a), 192.750'  in=79507  lat=13.6s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               '195.52, 195.452'  in=261016  lat=34.2s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   '192.5(c)(2)'  in=93959  lat=14.9s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               '192.5, 192.605, 192.710'  in=45707  lat=9.6s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   '195.426'  in=43877  lat=9.7s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   '195.563(a)'  in=57438  lat=8.8s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               '195.446(c)(3), 195.446(c)(4), 195.446(e)(2), 195.446(e)(3), 195.446(e)(4), 195.446(e)(5), 195.446(f)(1), 195.446(h)(1), 195.446(j)(1)'  in=148387  lat=30.4s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               '195.446(c)(1), 195.446(c)(4), 195.446(e)(1), 195.446(e)(2)'  in=103866  lat=16.5s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   '195.446(c)(3), 195.505(b)'  in=45477  lat=16.1s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   '192.631(d)(3), 192.631(e)(1), 192.631(h)'  in=81184  lat=25.2s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   '192.607'  in=58546  lat=10.6s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               '195.50(b), 195.54(a), 195.452(f)(1) and (3), 195.452(g), 195.577(a)'  in=356601  lat=71.8s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               '195.402(a); 195.452(l)(1)(ii)'  in=190919  lat=25.4s
  ✓ 32024040NOPV_PCP PCO_09062024_(23-264452)               '191.22, 192.5, 192.195, 192.491, 192.619, 192.705'  in=75728  lat=12.2s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   '195.446(c)(5)'  in=93529  lat=22.0s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               '191.17, 192.605, 192.616, 192.624'  in=181804  lat=19.0s
  ✗ 32024045NOPV_PCP PCO_05102024_(23-264643)               '195.446(c)(1), 195.446(c)(2), 195.446(c)(3), 195.446(e)(1), 195.446(e)(2), 195.446(e)(5)'  in=224810  lat=34.0s
  ✓ 32024049NOPV_PCP PCO_07022024_(23-264476)               '192.11(b), 192.723(b), 192.807(b), 192.1007(f)'  in=103708  lat=19.6s
  ✓ 32024050NOPV_PCP PCO_08282024_(23-264059)               '195.428, 195.452, 195.583'  in=150401  lat=21.5s
  ✓ 32024052NOPV_PCP PCO_07032024_(24-305436)               '49 CFR § 195.452(e)(1)'  in=294961  lat=30.8s
  ✓ 32024053NOPV_PCO_12122024_(22-233381)                   '195.452'  in=102579  lat=17.3s
  ✓ 32024054NOPV_PCO_08232024_(23-264382)                   '192.481, 192.745'  in=44770  lat=9.8s
  ✗ 32024056NOPV_PCP PCO_10252024_(23-264602)               '195.264(b), 195.505(a), 195.563(a), 195.573(a)(1), 195.401(b)'  in=123821  lat=50.5s
  ✓ 32024058NOPV_PCO_12042024_(23-264827)                   '195.412(a)'  in=91878  lat=21.0s
  ✓ 32024062NOPV_PCP PCO_11212024_(23-266139)               '192.745'  in=196470  lat=25.2s
  ✓ 32024066NOPV_PCP PCO_08222024_(23-282184)               '192.5(b)(3)(ii), 192.605(a)'  in=158668  lat=17.3s
  ✓ 32024069NOPV_PCP PCO_11142024_(23-264601)               '192.605, 192.705'  in=58920  lat=8.1s
  ✓ 32024071NOPV_PCP PCO_11142024_(23-264063)               '195.264(b)(1), 195.412(a)'  in=93805  lat=15.3s
  ✓ 32025003NOPV_PCP PCO_01162025_(23-264381)               '192.473(a), 192.605(a), 192.615(b)(2), 192.706(a), 192.907(a), 192.947(b)'  in=133409  lat=17.4s
  ✓ 32025004NOPV_PCO_05052025_(23-264480)                   '192.625(f), 192.723(b), 192.805(a)'  in=117345  lat=15.4s
  ✓ 32025006NOPV_PCP PCO_08182025_(23-264820)               '192.605, 192.739'  in=97514  lat=20.1s
  ✓ 32025007NOPV_PCP PCO_06252025_(23-264832)               '191.22, 192.605, 192.907, 192.935'  in=115377  lat=15.3s
  ✓ 32025008NOPV_PCP PCO_06162025_(23-264835)               '195.307, 195.402(a), 195.402(d)(1)(iv), 195.452(d)(1), 195.583(b)'  in=83408  lat=16.5s
  ✓ 32025022NOPV_PCO_07182025_(24-297198)                   '195.444(c), 195.446(c)(2), 195.446(c)(3), 195.446(c)(4), 195.446(h)'  in=45683  lat=10.1s

Question: List all 49 CFR section numbers cited as the basis for alleged violati
  accuracy=0.90 (45/50)  avg_in=128383  avg_lat=21.5s

  ✓ 32022062NOPV_PCO_09142022_(21-202559)                   '3'  in=58156  lat=6.5s
  ✓ 32022069NOPV_PCO_11292022_(22-233904)                   '4'  in=100260  lat=11.3s
  ✓ 32023002NOPV_PCP PCO_01182023_(21-202836)               '2'  in=115375  lat=11.2s
  ✓ 32023005NOPV_PCP PCO_01252023_(22-261675)               '4'  in=112614  lat=20.7s
  ✓ 32023006NOPV_PCP PCO_05042023_(22-235672)               '1'  in=194478  lat=19.6s
  ✓ 32023008NOPV_PCP PCO_06022023_(21-207275)               '4'  in=149651  lat=16.1s
  ✓ 32023011NOPV_PCP PCO_09122023_(22-233376)               '2'  in=92580  lat=10.4s
  ✓ 32023014NOPV_PCP PCO_07272023_(22-250434)               '7'  in=118916  lat=19.0s
  ✓ 32023016NOPV_PCP PCO_09082023_(22-238055)               '5'  in=83868  lat=10.5s
  ✓ 32023020NOPV_PCP PCO_08112023_(22-237273)               '4'  in=81129  lat=16.9s
  ✓ 32023021NOPV_PCP PCO_09182023_(22-245404)               '3'  in=146371  lat=20.2s
  ✓ 32023022NOPV_PCP PCO_08242023_(22-234357)               '4'  in=101267  lat=13.3s
  ✓ 32023026NOPV_PCP PCO_09082023_(22-240208)               '5'  in=115005  lat=14.0s
  ✓ 32023033NOPV_PCO_11272023_(22-234926)                   '3'  in=73353  lat=11.9s
  ✓ 32024001NOPV_PCO_12192024_(24-297350)                   '2'  in=43850  lat=9.0s
  ✓ 32024004NOPV_PCP PCO_03012024_(22-240209)               '5'  in=100795  lat=11.7s
  ✗ 32024007NOPV_PCO_01182024_(22-234928)                   '4'  in=131944  lat=16.0s
  ✓ 32024008NOPV_PCP PCO_10252024_(22-237074)               '3'  in=115714  lat=13.8s
  ✓ 32024011NOPV_PCO_02062024_(23-264235)                   '6'  in=58618  lat=12.4s
  ✓ 32024012NOPV_PCP PCO_02062024_(23-264235)               '3'  in=94776  lat=16.0s
  ✓ 32024016NOPV_PCO_02132024_(23-264316)                   '1'  in=86107  lat=10.0s
  ✓ 32024019NOPV_PCO_03042024_(22-233359)                   '2'  in=72401  lat=8.9s
  ✓ 32024020NOPV_PCP PCO_06132024_(21-199489)               '8'  in=136197  lat=18.0s
  ✓ 32024022NOPV_PCP PCO_05082024_(23-268060)               '4'  in=123175  lat=16.1s
  ✓ 32024028NOPV_PCO_12302024_(22-235481)                   '3'  in=133632  lat=19.9s
  ✓ 32024030NOPV_PCO_06032024_(23-264637)                   '2'  in=114964  lat=12.7s
  ✓ 32024035NOPV_PCO_04152024_(23-270170)                   '2'  in=161431  lat=20.4s
  ✗ 32024036NOPV_PCP PCO_06282024_(23-264742)               '5'  in=96075  lat=33.1s
  ✓ 32024038NOPV_PCP PCO_05312024_(22-233382)               '2'  in=126319  lat=14.4s
  ✗ 32024040NOPV_PCP PCO_09062024_(23-264452)               '4'  in=127435  lat=32.4s
  ✓ 32024042NOPV_PCO_06032024_(23-264638)                   '2'  in=143840  lat=12.1s
  ✓ 32024044NOPV_PCP PCO_04182024_(23-265891)               '4'  in=104588  lat=16.7s
