baseline=agentic_codex_qa_txt  model=gpt54mini  questions=12  docs=50
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'May 10 through August 13, 2021'  in=100908  lat=9.8s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               'May 7 through 11, 2018 and December 4 through 6, 2018'  in=111932  lat=9.6s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'May 27, 2020 through March 1, 2021'  in=56027  lat=9.6s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'May 12-13, 2020'  in=110980  lat=9.2s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'January 27 – November 12, 2020 and October 29 – November 4, 2021'  in=57880  lat=8.2s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'May 17 to May 21, 2021'  in=111426  lat=16.1s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'May 24 to 28, 2021'  in=57137  lat=6.4s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'March 2, 2020 through March 6, 2020'  in=110909  lat=12.1s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'October 18 to November 8, 2021'  in=57182  lat=5.7s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'August 23 to August 27, 2021'  in=44404  lat=5.0s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'March 21, 2021, through October 22, 2021'  in=43886  lat=5.6s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'May 24 through November 8, 2021'  in=56715  lat=5.4s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'between August 2021 and October 2021'  in=56132  lat=5.5s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'August 2021 to October 2021'  in=56998  lat=8.7s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'August 26 to August 30, 2019'  in=44102  lat=7.7s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'May 24 through December 8, 2021'  in=99324  lat=9.8s

Question: On what date or date range did PHMSA conduct the inspection that gave 
  accuracy=1.00 (50/50)  avg_in=69460  avg_lat=7.6s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'Michigan'  in=57121  lat=5.6s
  ✗ 12023047NOPV_PCO_12042023_(22-233293)                   'Kentucky, Tennessee, and Mississippi'  in=93597  lat=9.9s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'Iowa'  in=56615  lat=6.5s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'Pennsylvania'  in=96510  lat=11.4s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'Louisiana'  in=43580  lat=6.3s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'Pennsylvania and Florida'  in=96269  lat=10.7s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'Virginia'  in=56573  lat=4.8s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'New Jersey'  in=177978  lat=23.9s
  ✗ 12026003NOPV_PCO_02132026_(24-309719)                   'Florida'  in=93327  lat=13.0s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'West Virginia'  in=143133  lat=14.5s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'Pennsylvania, Maryland, and West Virginia'  in=78291  lat=12.1s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'West Virginia'  in=43566  lat=5.9s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'Michigan'  in=99328  lat=11.0s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'Florida, Alabama, Mississippi, and Louisiana'  in=76411  lat=12.1s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'Mississippi'  in=95291  lat=14.2s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'Florida'  in=113879  lat=17.7s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'Wisconsin'  in=105348  lat=17.2s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'New Jersey, Maryland, Texas, Georgia, Louisiana, North Carolina, Tennessee, Mississippi, South Carolina, Alabama, and New York'  in=294783  lat=44.7s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'Illinois'  in=43746  lat=6.5s
  ✗ 32021043NOPV_PCP PCO_12072021_(20-179274)               'Colorado'  in=172594  lat=15.3s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'Colorado and Wyoming'  in=145359  lat=16.4s
  ✗ 32021046NOPV_PCP PCO_11232021_(20-172259)               'Colorado'  in=276590  lat=49.6s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'North Dakota'  in=91657  lat=12.9s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'North Dakota'  in=95221  lat=11.4s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'North Dakota'  in=57507  lat=5.8s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'Louisiana and Texas'  in=44006  lat=5.2s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'North Dakota'  in=91708  lat=9.7s
  ✗ 32021082NOPV_PCO_12012021_(20-172259)                   'Colorado'  in=56468  lat=5.9s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'Colorado, Nebraska, Kansas, and Missouri'  in=90873  lat=12.2s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'Wyoming'  in=129453  lat=13.0s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'Colorado, Wyoming, and Kansas'  in=56985  lat=9.7s
  ✗ 32022001NOPV_PCP PCO_08082022_(21-208610)               'North Dakota'  in=76968  lat=9.4s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'Texas and Oklahoma'  in=30484  lat=5.9s
  ✗ 32022016NOPV_PCO_01072022_(20-187013)                   'TX'  in=131070  lat=23.7s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'Colorado, Wyoming, Kansas, and Nebraska'  in=93202  lat=16.4s
  ✗ 32022018NOPV_PCP PCO_01192022_(21-210993)               'Colorado'  in=94700  lat=17.4s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'Michigan'  in=56060  lat=7.5s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'Texas'  in=43488  lat=5.4s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'New Jersey, Louisiana, North Carolina, and Georgia'  in=127455  lat=22.1s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'Missouri'  in=179530  lat=15.4s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'Utah'  in=128766  lat=17.5s
  ✗ 32022040NOPV_PCO_02172022_(20-179276)                   'Missouri, Illinois, Indiana, Ohio'  in=206781  lat=25.2s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'Kentucky'  in=43979  lat=8.0s
  ✗ 32022047NOPV_PCP PCO_05122022_(21-201425)               'Michigan'  in=135870  lat=20.1s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'Oklahoma and Wyoming'  in=99716  lat=9.8s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'Louisiana, Mississippi, Alabama, Oklahoma, Florida, and Texas'  in=92242  lat=14.3s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'North Dakota'  in=129089  lat=19.9s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'North Dakota'  in=161713  lat=14.4s
  ✗ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'Kansas'  in=104114  lat=23.0s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'New Jersey, New York, Connecticut, Rhode Island, and Massachusetts'  in=58113  lat=7.5s

Question: In which U.S. state (or states) is the pipeline facility addressed in 
  accuracy=0.78 (39/50)  avg_in=103342  avg_lat=14.0s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'Part 195'  in=91005  lat=7.2s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'Part 192'  in=44353  lat=7.5s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'Part 192'  in=98922  lat=11.8s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'Part 192'  in=57674  lat=8.8s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'Part 192'  in=43529  lat=5.2s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'Part 195'  in=131131  lat=11.9s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'Part 192'  in=111230  lat=13.0s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'Part 195'  in=56523  lat=8.7s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'Part 195'  in=112571  lat=14.6s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'Part 195'  in=97498  lat=9.5s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'Part 192'  in=110557  lat=10.7s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'Part 192'  in=43522  lat=5.2s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'Part 192'  in=43440  lat=5.2s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'Part 195'  in=42822  lat=5.0s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'Part 195'  in=112093  lat=9.5s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'Part 192'  in=44091  lat=5.5s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'Part 199'  in=110011  lat=9.1s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'Part 195'  in=62765  lat=9.3s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'Part 195'  in=112415  lat=11.0s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'Part 192'  in=121918  lat=10.2s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'Part 195'  in=57035  lat=5.5s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'Part 195'  in=131020  lat=13.3s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'Part 195'  in=55630  lat=5.7s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'Part 195'  in=43212  lat=6.9s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'Part 195'  in=113781  lat=13.8s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'Part 192'  in=44068  lat=6.7s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'Part 195'  in=43721  lat=7.5s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'Part 195'  in=43291  lat=5.7s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'Part 192'  in=56724  lat=5.3s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'Part 195'  in=42976  lat=7.8s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'Part 195'  in=56902  lat=6.9s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'Part 195'  in=56380  lat=10.1s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'Part 192'  in=57315  lat=6.2s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'Part 195'  in=168728  lat=17.9s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'Part 192'  in=98746  lat=11.1s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               'Part 195'  in=44272  lat=8.2s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'Part 195'  in=56046  lat=6.7s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'Part 195'  in=111760  lat=9.7s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'Part 195'  in=44743  lat=9.1s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'Part 195'  in=57077  lat=6.6s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'Part 195'  in=112279  lat=12.5s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'Part 192'  in=55814  lat=11.9s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'Part 192'  in=57178  lat=7.8s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'Part 192'  in=99561  lat=12.2s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'Part 195'  in=91066  lat=11.3s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'Part 192'  in=142352  lat=12.4s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'Part 195'  in=97497  lat=9.4s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'Part 195'  in=141749  lat=11.2s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'Part 195'  in=57339  lat=6.3s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'Part 192'  in=112315  lat=10.2s

Question: Under which 49 CFR Part is the operator's regulated activity covered (
  accuracy=1.00 (50/50)  avg_in=79973  avg_lat=9.1s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   '4'  in=144865  lat=11.1s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   '2'  in=44841  lat=5.5s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   '1'  in=56593  lat=5.2s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   '2'  in=95470  lat=9.4s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   '1'  in=56685  lat=8.2s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   '5'  in=125113  lat=11.0s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   '2'  in=56614  lat=5.2s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   '1'  in=56516  lat=12.4s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   '3'  in=86218  lat=7.2s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   '1'  in=57115  lat=5.5s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   '5'  in=113245  lat=9.3s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   '1'  in=43473  lat=4.8s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  '1'  in=111975  lat=10.3s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   '2'  in=56479  lat=4.9s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   '9'  in=95248  lat=7.5s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               '11'  in=123571  lat=12.8s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               '7'  in=57658  lat=5.5s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     '8'  in=108440  lat=9.1s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               '5'  in=178344  lat=21.6s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               '12'  in=209704  lat=16.5s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               '3'  in=56984  lat=6.2s
  ✗ 32021046NOPV_PCP PCO_11232021_(20-172259)               '7'  in=57333  lat=6.3s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               '8'  in=246131  lat=18.1s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               '16'  in=128865  lat=11.2s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               '6'  in=57472  lat=4.7s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               '4'  in=57371  lat=5.9s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               '4'  in=57365  lat=5.1s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   '1'  in=56456  lat=6.0s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               '2'  in=43427  lat=4.6s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   '1'  in=128761  lat=10.9s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               '2'  in=177328  lat=15.4s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               '2'  in=100307  lat=11.1s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               '5'  in=132194  lat=16.5s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   '2'  in=56538  lat=5.1s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               '7'  in=44505  lat=5.9s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               '5'  in=44607  lat=5.5s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   '2'  in=83469  lat=11.1s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               '1'  in=56633  lat=4.9s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               '7'  in=110279  lat=12.0s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               '5'  in=112707  lat=9.3s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               '4'  in=112510  lat=9.7s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   '1'  in=147823  lat=15.5s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               '5'  in=57379  lat=5.3s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               '5'  in=57581  lat=4.9s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               '5'  in=185311  lat=13.2s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               '7'  in=148682  lat=14.7s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   '2'  in=84849  lat=7.4s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               '6'  in=145653  lat=9.9s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     '5'  in=93315  lat=7.8s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               '6'  in=199291  lat=16.7s

Question: How many distinct alleged violations are enumerated in the body of thi
  accuracy=0.98 (49/50)  avg_in=98386  avg_lat=9.3s

  ✗ 12022023NOPV_PCO_03312022_(20-194651)                   '49 CFR 195.446(e)(4), 195.446(c)(3), 195.446(e)(5), 195.446(h)(5)'  in=57497  lat=6.0s
  ✗ 12023047NOPV_PCO_12042023_(22-233293)                   '192.707(a)(2), 192.707(d), 192.731(a), 192.739(a), 192.743(a)'  in=94331  lat=25.1s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   '192.605'  in=56591  lat=6.2s
  ✗ 12024039NOPV_PCO_11062024_(23-276594)                   '§ 192.605(a); § 192.605(b)(1); § 192.712(a), (b), (d), (e), (f), and (g)'  in=136552  lat=16.4s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   '192.303, 192.145(a), 192.7(b)(8)'  in=56681  lat=7.6s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   '49 CFR §§ 195.214(a), 195.222(a), 195.222(b), 195.228(a), 195.234(e)(5)'  in=135904  lat=23.8s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   '192.605(a), 192.805(h)'  in=56562  lat=6.8s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   '195.402(a)'  in=56503  lat=5.6s
  ✗ 12026003NOPV_PCO_02132026_(24-309719)                   '195.202, 195.561(a), 195.589(c)'  in=152440  lat=11.9s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   '195.452(b)(5)'  in=215734  lat=16.0s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   '192.161(a)(1), 192.161(c), 192.481(a), 192.625, 192.739(a), 192.905(a)'  in=256122  lat=24.9s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   '192.12(d)(2)'  in=119154  lat=14.9s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  '192.12(b)(2)'  in=89685  lat=9.8s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   '195.440, 195.52'  in=43323  lat=6.0s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   '195.402, 195.440, 195.452, 195.452(l), 195.588, 195.589'  in=190659  lat=16.9s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               '191.11(a), 192.11(b), 192.285(d), 192.465(d), 192.605(a), 192.616(j), 192.741(a), 192.805, 192.1007(f)'  in=162563  lat=23.7s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               '§§ 199.101, 199.113, 199.202, 199.239, 199.241, 40.13, and 40.25'  in=57461  lat=8.4s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     '§ 195.571, § 195.222(b)(1), § 194.121(b)(6), § 195.402(a), § 195.412(a), § 195.573(c), § 195.452(j)(5)(i), § 195.414(a)'  in=83715  lat=14.2s
  ✗ 32021028NOPV_PCP PCO_11022021_(20-172212)               '195.302(a); 195.310(a); 195.310(b)(1); 195.402(a); 195.452(a); 195.452(b)(1); 195.505'  in=128073  lat=19.8s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               '191.5, 192.463, 192.465, 192.481, 192.605, 192.706, 192.805, 192.911'  in=125320  lat=16.2s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               '195.404(c)(3); 195.406(b); 195.452(l)(1)(ii); 195.452(f)(6)'  in=127143  lat=20.7s
  ✗ 32021046NOPV_PCP PCO_11232021_(20-172259)               '195.310(a), 195.402(a), 195.406(b), 195.440(g), 195.452(b)(4)(i), 195.452(l)(ii), 195.573(a)(1), 195.573(c), 195.577(a)'  in=133331  lat=15.1s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               '195.440, 195.452, 195.573, 195.581'  in=221897  lat=20.9s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               '194.117, 194.107, 195.61, 195.208, 195.264, 195.402, 195.420, 195.428, 195.430, 195.436, 195.438, 195.440, 195.573, 195.581'  in=79467  lat=11.0s
  ✗ 32021070NOPV_PCP PCO_12302021_(21-199716)               '195.264; 195.402(c)(13); 195.404(c)(3); 195.436; 195.452(c)(1)(i)(A); 195.452(l)(1)(ii); 195.591'  in=201344  lat=30.9s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               '192.201, 192.605, 192.706, 192.947'  in=44241  lat=6.9s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               '195.406, 195.440, 195.452, 195.507'  in=184879  lat=36.6s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   '195.505(b)'  in=88566  lat=18.8s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               '192.481'  in=73798  lat=14.7s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   '195.264'  in=144279  lat=15.6s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               '195.264'  in=145749  lat=14.2s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               '195.262; 195.302(a)'  in=89276  lat=8.6s
  ✗ 32022006NOPV_PCP PCO_04182022_(21-200783)               '192.463, 192.465, 192.705(a), 192.705(c), 192.709, 192.917, 192.917(b), 192.925(b), 192.937(c), 192.947'  in=80613  lat=12.8s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   '49 CFR §195.446(c)(2); 49 CFR §195.446(c)(3)'  in=111957  lat=11.6s
  ✗ 32022017NOPV_PCP PCO_01112022_(21-210504)               '192.163, 192.481, 192.517, 192.505, 192.506, 192.507, 192.605, 192.745'  in=93129  lat=13.7s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               '195.446(c)(4); 195.446(d)(3); 195.446(c)(2); 195.446(g)(1); 195.446(j)(2)'  in=96837  lat=16.5s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   '49 CFR § 195.310(a); 49 CFR § 195.402(a)'  in=111536  lat=9.9s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               '195.579'  in=89584  lat=8.7s
  ✗ 32022026NOPV_PCP PCO_05052022_(20-173062)               '195.446(c)(2), 195.446(e)(1), 195.428(d), 195.446(e)(3), 195.446(c)(3), 195.446(c)(4), 195.446(e)(2)'  in=199193  lat=22.3s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               '195.446(c)(1), 195.446(c)(2), 195.446(c)(3), 195.446(e)(1), 195.446(e)(3)'  in=144241  lat=13.4s
  ✗ 32022037NOPV_PCP PCO_03012022_(21-201004)               '195.446(e)(3), 195.428(d), 195.446(c)(3), 195.446(e)(1), 195.446(h)'  in=92213  lat=17.2s
  ✗ 32022040NOPV_PCO_02172022_(20-179276)                   '192.609, 192.611, 192.620'  in=175677  lat=15.7s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               '192.631(b)(5), 192.631(c)(1), 192.631(e)(2), 192.631(h)(6), 192.631(j)(1)'  in=131598  lat=12.8s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               '192.631(b), 192.631(c)(1), 192.631(e)(1), 192.631(c)(4), 192.631(j)(1)'  in=82343  lat=10.6s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               '194.105, 195.406, 195.452, 195.583(a), 195.583(b)'  in=148661  lat=14.4s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               '191.23, 192.161, 192.465, 192.605, 192.907'  in=92060  lat=9.5s
  ✗ 32022055NOPV_PCO_11082022_(21-209703)                   '§195.452, §195.452(f)(3), §195.563, §195.401(c)'  in=76030  lat=13.8s
  ✗ 32022056NOPV_PCP PCO_11082022_(21-209703)               '195.452(f)(3), 195.507, 195.563, 195.573(a)(1), 195.573(c), 195.579(b)(2)'  in=99991  lat=25.4s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     '§ 195.444; § 195.446(e)(1)-(e)(6); § 195.446(f); § 195.446(f)(1); § 195.446(f)(2); § 195.446(f)(10); § 195.446(h)(1); § 195.446(j)(1)'  in=135660  lat=25.7s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               '191.29, 192.605, 192.709'  in=93825  lat=14.6s

Question: List all 49 CFR section numbers cited as the basis for alleged violati
  accuracy=0.72 (36/50)  avg_in=117280  avg_lat=15.3s

  ✗ 12022023NOPV_PCO_03312022_(20-194651)                   '2'  in=111086  lat=10.6s
  ✗ 12023047NOPV_PCO_12042023_(22-233293)                   '2'  in=98003  lat=10.2s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   '2'  in=110841  lat=11.9s
  ✗ 12024039NOPV_PCO_11062024_(23-276594)                   '2'  in=111172  lat=11.7s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   '2'  in=56702  lat=5.6s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   '7'  in=97048  lat=9.6s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   '3'  in=43380  lat=5.1s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   '2'  in=98264  lat=9.9s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   '5'  in=111427  lat=11.2s
  ✗ 12026012NOPV_PCO_02062026_(25-329693)                   '5'  in=94184  lat=15.9s
  ✗ 12026015NOPV_PCO_02122026_(24-296051)                   '4'  in=93578  lat=10.6s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   '2'  in=56654  lat=5.3s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  '2'  in=56582  lat=4.8s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   '3'  in=56489  lat=6.2s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   '6'  in=95164  lat=8.2s
  ✗ 22023013NOPV_PCP PCO_11162023_(21-224433)               '4'  in=142044  lat=15.3s
  ✗ 22024001NOPV_PCP PCO_06272024_(24-304023)               '9'  in=94096  lat=7.8s
