baseline=agentic_codex_qa_txt  model=gpt54  questions=12  docs=50
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'May 27, 2020 through March 1, 2021'  in=57880  lat=8.2s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'May 12–13, 2020'  in=115073  lat=13.5s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'January 27-November 12, 2020 and October 29-November 4, 2021'  in=59675  lat=9.4s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'May 17 to May 21, 2021'  in=58808  lat=7.8s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'May 24 to 28, 2021'  in=58906  lat=7.5s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'March 2, 2020 through March 6, 2020'  in=43851  lat=8.1s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'October 18 to November 8, 2021'  in=58912  lat=7.8s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'August 23 to August 27, 2021'  in=59338  lat=7.2s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'March 21, 2021, through October 22, 2021'  in=45128  lat=7.1s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'May 24 through November 8, 2021'  in=58504  lat=7.4s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'between August 2021 and October 2021'  in=86951  lat=9.5s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'between August 2021 and October 2021'  in=58736  lat=7.4s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'August 26 to August 30, 2019'  in=45399  lat=11.0s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'May 24 through December 8, 2021'  in=45452  lat=8.4s

Question: On what date or date range did PHMSA conduct the inspection that gave 
  accuracy=1.00 (50/50)  avg_in=74647  avg_lat=10.4s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'Michigan'  in=93351  lat=11.0s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'Mississippi, Tennessee, Arkansas, Louisiana, and Kentucky'  in=224958  lat=28.3s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'Mississippi, Kansas, Oklahoma, Nebraska, Texas and Iowa'  in=194670  lat=22.9s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'Pennsylvania'  in=209060  lat=38.6s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'Louisiana'  in=92323  lat=14.0s
  ✗ 12025001NOPV_PCO_05302025_(23-265078)                   'Florida'  in=99143  lat=16.1s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'Virginia'  in=58625  lat=10.1s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'New Jersey'  in=82801  lat=23.7s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'Pennsylvania and Florida'  in=268071  lat=42.2s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'West Virginia'  in=168187  lat=22.2s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'Pennsylvania, Maryland, and West Virginia'  in=134864  lat=23.2s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'West Virginia'  in=58433  lat=8.3s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'Michigan'  in=87573  lat=11.2s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'Florida, Alabama, Mississippi, and Louisiana'  in=78357  lat=16.8s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'Mississippi'  in=96917  lat=11.8s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'Florida'  in=180448  lat=25.0s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'Wisconsin'  in=121070  lat=18.3s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'New Jersey, Maryland, Texas, Georgia, Louisiana, North Carolina, Tennessee, Mississippi, South Carolina, Alabama, and New York'  in=140277  lat=21.2s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'Illinois'  in=58714  lat=8.3s
  ✗ 32021043NOPV_PCP PCO_12072021_(20-179274)               'Colorado, Kansas, Nebraska, and Wyoming'  in=398807  lat=83.9s
  ✗ 32021045NOPV_PCP PCO_11052021_(20-172259)               'Wyoming'  in=95086  lat=20.4s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'Kansas and Colorado'  in=300918  lat=34.8s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'North Dakota'  in=169197  lat=19.1s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'North Dakota'  in=154147  lat=23.0s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'North Dakota'  in=130463  lat=16.3s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'Louisiana and Texas'  in=115463  lat=13.3s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'North Dakota'  in=80204  lat=12.5s
  ✗ 32021082NOPV_PCO_12012021_(20-172259)                   'Colorado'  in=228529  lat=28.6s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'Colorado, Nebraska, Kansas, and Missouri'  in=169385  lat=23.8s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'Wyoming'  in=57932  lat=8.8s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'Colorado, Wyoming, and Kansas'  in=164512  lat=22.6s
  ✗ 32022001NOPV_PCP PCO_08082022_(21-208610)               'North Dakota'  in=91697  lat=19.1s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'Texas and Oklahoma'  in=95043  lat=12.9s
  ✗ 32022016NOPV_PCO_01072022_(20-187013)                   'NOT_FOUND'  in=128413  lat=25.9s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'Colorado, Wyoming, Kansas, and Nebraska'  in=139386  lat=23.5s
  ✗ 32022018NOPV_PCP PCO_01192022_(21-210993)               'Colorado'  in=147274  lat=36.2s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'Michigan'  in=57852  lat=7.7s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'Texas'  in=44739  lat=8.5s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'New Jersey, Louisiana, North Carolina, and Georgia'  in=149666  lat=35.5s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'Missouri'  in=124187  lat=16.8s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'Utah'  in=130114  lat=18.8s
  ✗ 32022040NOPV_PCO_02172022_(20-179276)                   'MO, IL, IN, OH'  in=204288  lat=28.6s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'Kentucky'  in=208218  lat=30.6s
  ✗ 32022047NOPV_PCP PCO_05122022_(21-201425)               'NOT_FOUND'  in=243327  lat=45.6s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'Oklahoma and Wyoming'  in=206506  lat=27.9s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'Louisiana, Mississippi, Alabama, Oklahoma, Florida, and Texas'  in=94438  lat=16.4s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'North Dakota'  in=57741  lat=7.0s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'North Dakota'  in=163998  lat=16.7s
  ✗ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'NOT_FOUND'  in=259438  lat=51.9s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'New Jersey, New York, Connecticut, Rhode Island, and Massachusetts'  in=96157  lat=20.2s

Question: In which U.S. state (or states) is the pipeline facility addressed in 
  accuracy=0.80 (40/50)  avg_in=143099  avg_lat=22.6s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   'Part 195'  in=115413  lat=12.7s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   'Part 192'  in=94953  lat=12.5s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   'Part 192'  in=58411  lat=7.6s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   'Part 192'  in=114329  lat=12.5s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   'Part 192'  in=147667  lat=17.7s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   'Part 195'  in=136126  lat=15.8s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   'Part 192'  in=58372  lat=7.2s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   'Part 195'  in=183547  lat=18.9s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   'Part 195'  in=96457  lat=12.2s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   'Part 195'  in=58940  lat=9.4s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   'Part 192'  in=58716  lat=10.2s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   'Part 192'  in=58469  lat=9.3s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  'Part 192'  in=58605  lat=8.4s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   'Part 195'  in=87833  lat=14.2s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   'Part 195'  in=74007  lat=10.6s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               'Part 192'  in=96880  lat=15.4s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               'Part 199'  in=96656  lat=14.7s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     'Part 195'  in=213689  lat=24.5s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               'Part 195'  in=116208  lat=13.8s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               'Part 192'  in=184353  lat=20.8s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               'Part 195'  in=117022  lat=13.2s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               'Part 195'  in=95958  lat=13.5s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               'Part 195'  in=150299  lat=19.2s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               'Part 195'  in=94745  lat=16.2s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               'Part 195'  in=93865  lat=12.7s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               'Part 192'  in=59074  lat=9.2s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               'Part 195'  in=93494  lat=12.2s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   'Part 195'  in=91577  lat=12.1s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               'Part 192'  in=133624  lat=16.4s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   'Part 195'  in=57966  lat=12.1s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               'Part 195'  in=93188  lat=14.7s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               'Part 195'  in=58378  lat=9.2s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               'Part 192'  in=80745  lat=14.6s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   'Part 195'  in=91771  lat=10.5s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               'Part 192'  in=94217  lat=10.5s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               'Part 195'  in=96356  lat=11.6s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   'Part 195'  in=57830  lat=10.0s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               'Part 195'  in=58516  lat=8.2s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               'Part 195'  in=59672  lat=7.7s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               'Part 195'  in=73989  lat=11.5s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               'Part 195'  in=93748  lat=11.5s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   'Part 192'  in=157644  lat=19.1s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               'Part 192'  in=117012  lat=13.7s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               'Part 192'  in=81352  lat=10.6s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               'Part 195'  in=93660  lat=16.9s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               'Part 192'  in=151433  lat=18.5s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   'Part 195'  in=90636  lat=12.4s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               'Part 195'  in=146840  lat=14.4s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     'Part 195'  in=156176  lat=18.8s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               'Part 192'  in=95280  lat=12.8s

Question: Under which 49 CFR Part is the operator's regulated activity covered (
  accuracy=1.00 (50/50)  avg_in=100914  avg_lat=13.2s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   '4'  in=45616  lat=8.5s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   '2'  in=184948  lat=16.4s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   '1'  in=58409  lat=8.2s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   '2'  in=213175  lat=22.9s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   '1'  in=58506  lat=10.2s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   '5'  in=60506  lat=9.3s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   '2'  in=44658  lat=12.9s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   '1'  in=117923  lat=15.7s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   '3'  in=59789  lat=7.4s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   '1'  in=186637  lat=16.6s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   '5'  in=59212  lat=8.1s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   '1'  in=58450  lat=7.8s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  '1'  in=87572  lat=11.0s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   '2'  in=44398  lat=7.6s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   '9'  in=97949  lat=10.2s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               '11'  in=134417  lat=22.9s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               '7'  in=59685  lat=9.7s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     '8'  in=159134  lat=18.5s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               '5'  in=183990  lat=18.9s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               '12'  in=129944  lat=16.4s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               '3'  in=58804  lat=9.2s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               '10'  in=134476  lat=19.9s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               '8'  in=93562  lat=12.3s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               '16'  in=157320  lat=17.9s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               '6'  in=117307  lat=12.7s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               '4'  in=59214  lat=7.4s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               '4'  in=59118  lat=7.0s
  ✓ 32021082NOPV_PCO_12012021_(20-172259)                   '1'  in=148271  lat=15.3s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               '2'  in=180424  lat=18.8s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   '1'  in=57896  lat=7.4s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               '2'  in=146860  lat=17.5s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               '2'  in=116754  lat=12.5s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               '5'  in=59515  lat=10.9s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   '2'  in=58285  lat=7.6s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               '7'  in=118711  lat=12.3s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               '5'  in=59959  lat=8.3s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   '2'  in=57348  lat=8.1s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               '1'  in=87631  lat=9.9s
  ✓ 32022026NOPV_PCP PCO_05052022_(20-173062)               '7'  in=181866  lat=18.1s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               '5'  in=58913  lat=7.5s
  ✓ 32022037NOPV_PCP PCO_03012022_(21-201004)               '4'  in=59359  lat=9.6s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   '1'  in=91472  lat=11.7s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               '5'  in=59180  lat=8.1s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               '5'  in=59858  lat=9.2s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               '5'  in=151129  lat=16.4s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               '7'  in=59065  lat=10.6s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   '2'  in=116051  lat=14.9s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               '6'  in=45509  lat=10.3s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     '5'  in=158032  lat=15.1s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               '6'  in=59655  lat=8.1s

Question: How many distinct alleged violations are enumerated in the body of thi
  accuracy=1.00 (50/50)  avg_in=98329  avg_lat=12.3s

  ✗ 12022023NOPV_PCO_03312022_(20-194651)                   '195.446(e)(4), 195.446(c)(3), 195.446(e)(5), 195.446(h)(5)'  in=147018  lat=20.9s
  ✗ 12023047NOPV_PCO_12042023_(22-233293)                   '192.707(a)(2), 192.731(a), 192.739(a), 192.743(a)'  in=296816  lat=44.7s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   '192.605'  in=58362  lat=7.5s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   '192.605(a), 192.605(b)(1)'  in=216131  lat=23.9s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   '192.303, 192.145(a), 192.7(b)(8)'  in=117633  lat=16.0s
  ✓ 12025001NOPV_PCO_05302025_(23-265078)                   '195.214(a), 195.222(a), 195.222(b), 195.228(a), 195.234(e)(5)'  in=188326  lat=20.1s
  ✓ 12025006NOPV_PCO_05082025_(23-272518)                   '192.605(a), 192.805(h)'  in=218872  lat=36.6s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   '195.402(a)'  in=58296  lat=8.5s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   '195.202; 195.589(c)'  in=59774  lat=11.1s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   '195.452(b)(5)'  in=45166  lat=12.9s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   '192.161, 192.481, 192.625, 192.739, 192.905'  in=59418  lat=8.9s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   '192.12(d)(2)'  in=58430  lat=9.4s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  '192.12(b)(2)'  in=214023  lat=23.1s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   '195.440, 195.52'  in=58314  lat=11.5s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   '195.440, 195.452, 195.452(l), 195.588, 195.402, 195.589'  in=139967  lat=25.8s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               '191.11(a), 192.11(b), 192.285(d), 192.465(d), 192.605(a), 192.616(j), 192.741(a), 192.805, 192.1007(f)'  in=101107  lat=16.7s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               '199.101, 199.113, 199.202, 199.239, 199.241, 40.13, 40.25'  in=59492  lat=9.9s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     '195.571, 195.222(b)(1), 194.121(b)(6), 195.402(a), 195.412(a), 195.573(c), 195.452(j)(5)(i), 195.414(a)'  in=119486  lat=15.4s
  ✗ 32021028NOPV_PCP PCO_11022021_(20-172212)               '195.302, 195.310, 195.402, 195.452, 195.505'  in=45300  lat=10.7s
  ✓ 32021043NOPV_PCP PCO_12072021_(20-179274)               '191.5, 192.463, 192.465, 192.481, 192.605, 192.706, 192.805, 192.911'  in=237722  lat=30.3s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               '195.404, 195.406, 195.452'  in=256863  lat=35.4s
  ✗ 32021046NOPV_PCP PCO_11232021_(20-172259)               '195.310, 195.402, 195.406, 195.440, 195.452, 195.573, 195.577'  in=266801  lat=32.1s
  ✗ 32021051NOPV_PCP PCO_11102021_(21-200403)               '195.401, 195.440, 195.452, 195.573, 195.581'  in=270058  lat=30.9s
  ✓ 32021059NOPV_PCP PCO_12302021_(21-200404)               '194.107, 194.117, 195.61, 195.208, 195.264, 195.402, 195.420, 195.428, 195.430, 195.436, 195.438, 195.440, 195.573, 195.581'  in=95602  lat=14.5s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               '195.264, 195.404, 195.436, 195.452'  in=59301  lat=12.8s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               '192.201, 192.605, 192.706, 192.947'  in=59136  lat=6.7s
  ✓ 32021080NOPV_PCP PCO_12222021_(21-199715)               '195.406, 195.440, 195.452, 195.507'  in=94103  lat=11.6s
  ✗ 32021082NOPV_PCO_12012021_(20-172259)                   '195.503; 195.505(b)'  in=91993  lat=16.9s
  ✓ 32021087NOPV_PCP PCO_12132021_(21-210505)               '192.481'  in=58478  lat=8.4s
  ✓ 32021088NOPV_PCO_11302021_(21-210503)                   '195.264'  in=90997  lat=13.6s
  ✓ 32021089NOPV_PCP PCO_11302021_(21-210502)               '195.264'  in=58705  lat=13.7s
  ✓ 32022001NOPV_PCP PCO_08082022_(21-208610)               '195.262, 195.302'  in=58096  lat=8.3s
  ✓ 32022006NOPV_PCP PCO_04182022_(21-200783)               '192.465, 192.709, 192.917, 192.947'  in=126296  lat=18.4s
  ✓ 32022016NOPV_PCO_01072022_(20-187013)                   '195.446(c)(2), 195.446(c)(3)'  in=58307  lat=8.2s
  ✓ 32022017NOPV_PCP PCO_01112022_(21-210504)               '192.163, 192.481, 192.517, 192.605, 192.745'  in=183809  lat=20.5s
  ✓ 32022018NOPV_PCP PCO_01192022_(21-210993)               '195.446(c)(4), 195.446(d)(3), 195.446(c)(2), 195.446(g)(1), 195.446(j)(2)'  in=187085  lat=24.3s
  ✓ 32022024NOPV_PCO_03252022_(20-179518)                   '195.310, 195.402'  in=57892  lat=12.4s
  ✓ 32022025NOPV_PCP PCO_10142022_(20-182827)               '195.579'  in=92287  lat=14.4s
  ✗ 32022026NOPV_PCP PCO_05052022_(20-173062)               '195.446(c)(2), 195.446(e)(1), 195.428(d), 195.446(e)(3), 195.446(c)(3), 195.446(c)(4), 195.446(e)(2)'  in=259490  lat=36.8s
  ✓ 32022033NOPV_PCP PCO_03172022_(21-203212)               '195.446(c)(1), 195.446(c)(2), 195.446(c)(3), 195.446(e)(1), 195.446(e)(3)'  in=123723  lat=18.3s
  ✗ 32022037NOPV_PCP PCO_03012022_(21-201004)               '195.446(e)(3), 195.428(d), 195.446(c)(3), 195.446(e)(1), 195.446(h)'  in=167483  lat=36.0s
  ✓ 32022040NOPV_PCO_02172022_(20-179276)                   '192.611'  in=114936  lat=23.5s
  ✓ 32022045NOPV_PCP PCO_04282022_(21-201001)               '192.631(b)(5), 192.631(c)(1), 192.631(e)(2), 192.631(h)(6), 192.631(j)(1)'  in=94718  lat=19.5s
  ✓ 32022047NOPV_PCP PCO_05122022_(21-201425)               '192.631(b), 192.631(c)(1), 192.631(e)(1), 192.631(c)(4), 192.631(j)(1)'  in=185351  lat=22.6s
  ✓ 32022052NOPV_PCP PCO_11102022_(21-207738)               '194.105, 195.406, 195.452, 195.583'  in=59384  lat=12.3s
  ✓ 32022053NOPV_PCP PCO_08222022_(21-210151)               '191.23, 192.161, 192.465, 192.605, 192.907'  in=93952  lat=26.0s
  ✓ 32022055NOPV_PCO_11082022_(21-209703)                   '195.452, 195.563'  in=180382  lat=25.0s
  ✓ 32022056NOPV_PCP PCO_11082022_(21-209703)               '195.452, 195.507, 195.563, 195.573, 195.579'  in=59147  lat=11.6s
  ✓ 32022058NOPV_PCP PCO (AMENDED)_09142022_(22-242811)     '195.444(c); 195.446(f)(1); 195.446(f)(2); 195.446(h)(1); 195.446(j)(1)'  in=75376  lat=21.4s
  ✓ 32022061NOPV_PCP PCO_12222022_(21-201318)               '191.29, 192.605, 192.709'  in=96119  lat=25.6s

Question: List all 49 CFR section numbers cited as the basis for alleged violati
  accuracy=0.84 (42/50)  avg_in=123510  avg_lat=18.9s

  ✓ 12022023NOPV_PCO_03312022_(20-194651)                   '3'  in=144892  lat=21.8s
  ✓ 12023047NOPV_PCO_12042023_(22-233293)                   '3'  in=147778  lat=18.2s
  ✓ 12024018NOPV_PCO_08262024_(23-263980)                   '2'  in=58594  lat=10.0s
  ✓ 12024039NOPV_PCO_11062024_(23-276594)                   '3'  in=99570  lat=14.5s
  ✓ 12024051NOPV_PCO_07052024_(24-297439)                   '2'  in=58428  lat=7.6s
  ✗ 12025001NOPV_PCO_05302025_(23-265078)                   '6'  in=115065  lat=10.5s
  ✗ 12025006NOPV_PCO_05082025_(23-272518)                   '2'  in=133296  lat=27.9s
  ✓ 12026002NOPV_PCO_01232026_(24-295891)                   '2'  in=114268  lat=14.5s
  ✓ 12026003NOPV_PCO_02132026_(24-309719)                   '5'  in=114757  lat=13.2s
  ✓ 12026012NOPV_PCO_02062026_(25-329693)                   '2'  in=58961  lat=9.8s
  ✓ 12026015NOPV_PCO_02122026_(24-296051)                   '5'  in=96030  lat=14.0s
  ✓ 12026022NOPV_PCO_02242026_(25-330072)                   '2'  in=114897  lat=12.7s
  ✓ 12026032NOPV_PCO_02132026_ (25-330095)                  '2'  in=58363  lat=9.9s
  ✓ 22023002NOPV_PCO_07282023_(21-202409)                   '3'  in=58259  lat=7.4s
  ✓ 22023011NOPV_PCO_07282023_(21-202560)                   '6'  in=141297  lat=21.5s
  ✓ 22023013NOPV_PCP PCO_11162023_(21-224433)               '6'  in=131007  lat=22.6s
  ✓ 22024001NOPV_PCP PCO_06272024_(24-304023)               '10'  in=149324  lat=20.7s
  ✓ 22024011NOPV_PCP PCO (AMENDED)_07092024_(22-235530)     '4'  in=116075  lat=15.5s
  ✓ 32021028NOPV_PCP PCO_11022021_(20-172212)               '2'  in=87648  lat=15.1s
  ✗ 32021043NOPV_PCP PCO_12072021_(20-179274)               '10'  in=127645  lat=14.1s
  ✓ 32021045NOPV_PCP PCO_11052021_(20-172259)               '3'  in=58808  lat=9.9s
  ✓ 32021046NOPV_PCP PCO_11232021_(20-172259)               '3'  in=116511  lat=14.1s
  ✓ 32021051NOPV_PCP PCO_11102021_(21-200403)               '8'  in=93088  lat=11.7s
  ✗ 32021059NOPV_PCP PCO_12302021_(21-200404)               '10'  in=226926  lat=40.0s
  ✓ 32021070NOPV_PCP PCO_12302021_(21-199716)               '3'  in=59110  lat=7.7s
  ✓ 32021073NOPV_PCP PCO_12222021_(20-173072)               '4'  in=114889  lat=11.7s
