AZURE_OPENAI_API_KEY exported (84 chars) from /home/yiminglin/api_keys/azure_cloudbank/gpt-54_1.txt
baseline=agentic_codex_qa_gpt54_all  model=gpt54  split=all_docs
  ✗ AMAZON_2016_10K: '410 Terry Avenue North'
  ✗ AMAZON_2017_10K: '410 Terry Avenue North'
  ✗ AMAZON_2018_10K: '410 Terry Avenue North'
  ✗ AMAZON_2019_10K: '410 Terry Avenue North'
  ✗ AMAZON_2020_10K: '410 Terry Avenue North'
  ✗ AMAZON_2022_10K: '410 Terry Avenue North'
  ✓ AMCOR_2019_10K: '83 Tower Road North, Warmley, Bristol BS30 8XP, United Kingdom'
  ✓ AMCOR_2021_10K: '83 Tower Road North, Warmley, Bristol, United Kingdom, BS30 8XP'
  ✓ AMCOR_2022_10K: '83 Tower Road North, Warmley, Bristol, United Kingdom, BS30 8XP'
  ✓ AMCOR_2023_10K: '83 Tower Road North, Warmley, Bristol, United Kingdom, BS30 8XP'
  ✓ AMD_2019_10K: '2485 Augustine Drive, Santa Clara, California 95054'
  ✓ AMD_2020_10K: '2485 Augustine Drive, Santa Clara, California 95054'
  ✓ AMD_2021_10K: '2485 Augustine Drive, Santa Clara, California 95054'
  ✓ AMD_2022_10K: '2485 Augustine Drive, Santa Clara, California 95054'
  ✓ APPLE_2015_10K: '1 Infinite Loop, Cupertino, California, 95014'
  ✓ APPLE_2016_10K: '1 Infinite Loop, Cupertino, California, 95014'
  ✓ APPLE_2017_10K: '1 Infinite Loop, Cupertino, California, 95014'
  ✓ APPLE_2018_10K: 'One Apple Park Way, Cupertino, California, 95014'
  ✓ APPLE_2019_10K: 'One Apple Park Way, Cupertino, California, 95014'
  ✓ APPLE_2020_10K: 'One Apple Park Way, Cupertino, California, 95014'
  ✓ APPLE_2021_10K: 'One Apple Park Way, Cupertino, California, 95014'
  ✓ APPLE_2022_10K: 'One Apple Park Way, Cupertino, California, 95014'
  ✓ BESTBUY_2015_10K: '7601 Penn Avenue South, Richfield, Minnesota 55423'
  ✓ BESTBUY_2020_10K: '7601 Penn Avenue South, Richfield, Minnesota, 55423'
  ✓ BESTBUY_2021_10K: '7601 Penn Avenue South, Richfield, Minnesota, 55423'
  ✓ BESTBUY_2022_10K: '7601 Penn Avenue South, Richfield, Minnesota, 55423'
  ✓ BESTBUY_2023_10K: '7601 Penn Avenue South, Richfield, Minnesota, 55423'
  ✓ BOEING_2017_10K: '100 N. Riverside Plaza, Chicago, IL 60606-1596'
  ✓ BOEING_2018_10K: '100 N. Riverside Plaza, Chicago, IL 60606-1596'
  ✓ BOEING_2019_10K: '100 N. Riverside Plaza, Chicago, IL 60606-1596'
  ✓ BOEING_2020_10K: '100 N. Riverside Plaza, Chicago, IL 60606-1596'
  ✓ BOEING_2022_10K: '929 Long Bridge Drive, Arlington, VA 22202'
  ✓ CORNING_2022_10K: 'One Riverfront Plaza, Corning, New York, 14831'
  ✓ COSTCO_2015_10K: '999 Lake Drive, Issaquah, WA 98027'
  ✓ COSTCO_2016_10K: '999 Lake Drive, Issaquah, WA 98027'
  ✓ COSTCO_2017_10K: '999 Lake Drive, Issaquah, WA 98027'
  ✓ COSTCO_2018_10K: '999 Lake Drive, Issaquah, WA 98027'
  ✓ EBAY_2021_10K: '2025 Hamilton Avenue, San Jose , California, 95125'
  ✓ FOOTLOCKER_2023_10K: '330 West 34th Street, New York, New York 10001'
  ✓ GENERALMILLS_2022_10K: 'Number One General Mills Boulevard, Minneapolis, Minnesota, 55426'
  ✓ INTEL_2016_10K: '2200 Mission College Boulevard, Santa Clara, California 95054-1549'
  ✓ INTEL_2022_10K: '2200 Mission College Boulevard, Santa Clara, California 95054-1549'
  ✓ JOHNSON_JOHNSON_2022_10K: 'New Brunswick, New Jersey, 08933, One Johnson & Johnson Plaza, New Brunswick, New Jersey 08933'
  ✓ KRAFTHEINZ_2021_10K: 'One PPG Place, Pittsburgh, Pennsylvania 15222'
  ✓ LOCKHEEDMARTIN_2021_10K: '6801 Rockledge Drive, Bethesda, Maryland 20817'
  ✓ LOCKHEEDMARTIN_2022_10K: '6801 Rockledge Drive, Bethesda, Maryland 20817'
  ✓ NIKE_2019_10K: 'One Bowerman Drive, Beaverton, Oregon 97005-6453'
  ✓ NIKE_2021_10K: 'One Bowerman Drive, Beaverton, Oregon 97005-6453'

Question: What is the address of principal executive offices and ZIP code?
  accuracy=0.88 (52/59)  avg_in=13971  avg_out=126  avg_lat=1.8s

  ✓ ACTIVISIONBLIZZARD_2017_10K: 'ATVI - Nasdaq Global Select Market'
  ✓ ACTIVISIONBLIZZARD_2020_10K: 'ATVI - The Nasdaq Global Select Market'
  ✓ ADOBE_2015_10K: 'ADBE - The NASDAQ Stock Market LLC'
  ✓ ADOBE_2016_10K: 'ADBE - The NASDAQ Stock Market LLC'
  ✓ ADOBE_2017_10K: 'ADBE - The NASDAQ Stock Market LLC'
  ✓ ADOBE_2018_10K: 'ADBE - The NASDAQ Stock Market LLC'
  ✓ ADOBE_2019_10K: 'ADBE - NASDAQ'
  ✓ ADOBE_2020_10K: 'ADBE - NASDAQ'
  ✓ ADOBE_2021_10K: 'ADBE - NASDAQ'
  ✓ ADOBE_2022_10K: 'ADBE - NASDAQ'
  ✓ AMAZON_2015_10K: 'AMZN - Nasdaq Global Select Market'
  ✓ AMAZON_2016_10K: 'AMZN - Nasdaq Global Select Market'
  ✓ AMAZON_2017_10K: 'AMZN - Nasdaq Global Select Market'
  ✓ AMAZON_2018_10K: 'AMZN - Nasdaq Global Select Market'
  ✓ AMAZON_2019_10K: 'AMZN - Nasdaq Global Select Market'
  ✓ AMAZON_2020_10K: 'AMZN - Nasdaq Global Select Market'
  ✓ AMAZON_2022_10K: 'AMZN - Nasdaq Global Select Market'
  ✓ AMCOR_2019_10K: 'AMCR - The New York Stock Exchange'
  ✓ AMCOR_2021_10K: 'AMCR - New York Stock Exchange; AUKF/27 - New York Stock Exchange'
  ✓ AMCOR_2022_10K: 'AMCR - New York Stock Exchange; AUKF/27 - New York Stock Exchange'
  ✓ AMCOR_2023_10K: 'AMCR - New York Stock Exchange; AUKF/27 - New York Stock Exchange'
  ✓ AMD_2019_10K: 'AMD - The NASDAQ Global Select Market'
  ✓ AMD_2020_10K: 'AMD - The NASDAQ Global Select Market'
  ✓ AMD_2021_10K: 'AMD - The NASDAQ Global Select Market'
  ✓ AMD_2022_10K: 'AMD - The NASDAQ Global Select Market'
  ✓ APPLE_2015_10K: 'AAPL - The NASDAQ Stock Market LLC'
  ✓ APPLE_2016_10K: 'AAPL - The NASDAQ Stock Market LLC'
  ✓ APPLE_2017_10K: 'AAPL - The NASDAQ Stock Market LLC'
  ✓ APPLE_2018_10K: 'AAPL - The NASDAQ Stock Market LLC'
  ✓ APPLE_2019_10K: 'AAPL - The Nasdaq Stock Market LLC'
  ✓ APPLE_2020_10K: 'AAPL - The Nasdaq Stock Market LLC'
  ✓ APPLE_2021_10K: 'AAPL - The Nasdaq Stock Market LLC'
  ✗ APPLE_2022_10K: 'AAPL - The Nasdaq Stock Market LLC'
  ✓ BESTBUY_2015_10K: 'BBY - New York Stock Exchange'
  ✓ BESTBUY_2020_10K: 'BBY - New York Stock Exchange'
  ✓ BESTBUY_2021_10K: 'BBY - New York Stock Exchange'
  ✓ BESTBUY_2022_10K: 'BBY - New York Stock Exchange'
  ✓ BESTBUY_2023_10K: 'BBY - New York Stock Exchange'
  ✓ BOEING_2017_10K: 'BA - New York Stock Exchange'
  ✓ BOEING_2018_10K: 'BA - New York Stock Exchange'
  ✓ BOEING_2019_10K: 'BA - New York Stock Exchange'
  ✓ BOEING_2020_10K: 'BA - New York Stock Exchange'
  ✓ BOEING_2022_10K: 'BA - New York Stock Exchange'
  ✓ CORNING_2022_10K: 'GLW - New York Stock Exchange (NYSE)'
  ✓ COSTCO_2015_10K: 'COST - Nasdaq Global Select Market'
  ✓ COSTCO_2016_10K: 'COST - Nasdaq Global Select Market'
  ✓ COSTCO_2017_10K: 'COST - Nasdaq Global Select Market'
  ✓ COSTCO_2018_10K: 'COST - Nasdaq Global Select Market'
  ✓ EBAY_2021_10K: 'EBAY - The Nasdaq Global Select Market'
  ✓ FOOTLOCKER_2023_10K: 'FL - New York Stock Exchange'
  ✓ GENERALMILLS_2022_10K: 'GIS - New York Stock Exchange; GIS23A - New York Stock Exchange; GIS25A - New York Stock Exchange; GIS26 - New York Stock Exchange; GIS27 - New York Stock Exchange'
  ✗ INTEL_2016_10K: 'INTC - The NASDAQ Global Select Market'
  ✓ INTEL_2022_10K: 'INTC - Nasdaq Global Select Market'
  ✓ JOHNSON_JOHNSON_2022_10K: 'JNJ - New York Stock Exchange; JNJ24C - New York Stock Exchange; JNJ24BP - New York Stock Exchange; JNJ28 - New York Stock Exchange; JNJ35 - New York Stock Exchange'
  ✓ KRAFTHEINZ_2021_10K: 'KHC - The Nasdaq Stock Market LLC'
  ✓ LOCKHEEDMARTIN_2021_10K: 'LMT - New York Stock Exchange'
  ✓ LOCKHEEDMARTIN_2022_10K: 'LMT - New York Stock Exchange'
  ✓ NIKE_2019_10K: 'NKE - New York Stock Exchange'
  ✓ NIKE_2021_10K: 'NKE - New York Stock Exchange'

Question: What is/are the trading symbol(s) and listing exchange(s)?
  accuracy=0.97 (57/59)  avg_in=13971  avg_out=126  avg_lat=1.8s


============================================================
  mean accuracy : 0.8610
  mean in-tokens: 13971
  mean latency  : 1.8s
  results in    : /mnt/data/LSF/baseline_results/financebench/agentic_codex_qa_gpt54_all/single_cluster/all_docs/
